Nome: JOAO PESSOA
Codigo Estacao: A320
Latitude: -7.165409
Longitude: -34.815627
Altitude: 33.5
Situacao: Operante
Data Inicial: 2009-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2009-01-07;2300;-3,54;
2009-01-08;0000;-3,54;
2009-01-08;0100;-3,54;
2009-01-08;0200;-3,54;
2009-01-08;0300;-3,54;
2009-01-08;0400;-3,54;
2009-01-08;0500;-3,537;
2009-01-08;0600;-3,54;
2009-01-08;0700;-3,54;
2009-01-08;0800;-3,54;
2009-01-08;0900;34,186;
2009-01-08;1000;623,75;
2009-01-08;1100;1430,414;
2009-01-08;1200;1991,811;
2009-01-08;1300;2791,715;
2009-01-08;1400;2831,859;
2009-01-08;1500;3234,818;
2009-01-08;1600;2475,13;
2009-01-08;1700;2582,828;
2009-01-08;1800;2093,038;
2009-01-08;1900;1487,068;
2009-01-08;2000;1122,525;
2009-01-08;2100;221,107;
2009-01-08;2200;-3,479;
2009-01-08;2300;-3,54;
2009-01-09;0000;-3,54;
2009-01-09;0100;-3,54;
2009-01-09;0200;-3,54;
2009-01-09;0300;-3,532;
2009-01-09;0400;-3,538;
2009-01-09;0500;-3,54;
2009-01-09;0600;-3,54;
2009-01-09;0700;-3,54;
2009-01-09;0800;-3,54;
2009-01-09;0900;39,78;
2009-01-09;1000;357,687;
2009-01-09;1100;684,213;
2009-01-09;1200;1516,878;
2009-01-09;1300;2198,916;
2009-01-09;1400;2207,492;
2009-01-09;1500;2644,715;
2009-01-09;1600;2586,481;
2009-01-09;1700;1564,084;
2009-01-09;1800;1748,677;
2009-01-09;1900;1753,769;
2009-01-09;2000;903,342;
2009-01-09;2100;234,836;
2009-01-09;2200;-2,705;
2009-01-09;2300;-3,54;
2009-01-10;0000;-3,538;
2009-01-10;0100;-3,523;
2009-01-10;0200;-3,458;
2009-01-10;0300;-3,414;
2009-01-10;0400;-3,54;
2009-01-10;0500;-3,54;
2009-01-10;0600;-3,417;
2009-01-10;0700;-3,54;
2009-01-10;0800;-3,54;
2009-01-10;0900;36,953;
2009-01-10;1000;599,376;
2009-01-10;1100;1311,651;
2009-01-10;1200;1390,235;
2009-01-10;1300;2359,48;
2009-01-10;1400;3366,411;
2009-01-10;1500;3721,199;
2009-01-10;1600;3686,353;
2009-01-10;1700;3354,546;
2009-01-10;1800;2782,325;
2009-01-10;1900;1983,045;
2009-01-10;2000;1089,462;
2009-01-10;2100;233,237;
2009-01-10;2200;-3,424;
2009-01-10;2300;-3,54;
2009-01-11;0000;-3,5;
2009-01-11;0100;-3,535;
2009-01-11;0200;-3,403;
2009-01-11;0300;-3,469;
2009-01-11;0400;-3,54;
2009-01-11;0500;-3,479;
2009-01-11;0600;-3,009;
2009-01-11;0700;-3,022;
2009-01-11;0800;-3,54;
2009-01-11;0900;29,188;
2009-01-11;1000;468,966;
2009-01-11;1100;1537,856;
2009-01-11;1200;2280,913;
2009-01-11;1300;2809,239;
2009-01-11;1400;3415,978;
2009-01-11;1500;3247,083;
2009-01-11;1600;3106,284;
2009-01-11;1700;2964,216;
2009-01-11;1800;2530,433;
